productName,productDescription,productCategory,imagePath,milkTeaSmallPrice,milkTeaMediumPrice,milkTeaLargePrice,milkTeaAddOnsOne,milkTeaAddOnsOnePrice,milkTeaAddOnsTwo,milkTeaAddOnsTwoPrice,coolersSmallPrice,coolersMediumPrice,coolersLargePrice,coolersAddOnsOne,coolersAddOnsOnePrice,coolersAddOnsTwo,coolersAddOnsTwoPrice,coffeePrice,iceCandyCupsPrice,appetizerPrice
Match,,Milk Tea,C:\Users\RHS_ICT\AppData\Roaming\POS_Tea\product images\423766519_294322193471869_2191681473227286979_n.jpg,23.0,27.0,38.0,cream puff,15.0,cream cheese,20.0,,,,,,,,,,
Okinawa,,Milk Tea,C:\Users\RHS_ICT\AppData\Roaming\POS_Tea\product images\429471933_322316623758024_1098635431038161415_n.jpg,23.0,27.0,38.0,cream cheese,20.0,cream puff,15.0
Blue Lemonade,,Coolers,C:\Users\RHS_ICT\AppData\Roaming\POS_Tea\product images\423766171_853717266561738_3335420136044550112_n.jpg,,,,,,,,23.0,27.0,38.0,jelly,15.0,pearls,15.0
Lychee,,Coolers,C:\Users\RHS_ICT\AppData\Roaming\POS_Tea\product images\423737992_1402301893764917_8936825742573352849_n.jpg,,,,,,,,23.0,27.0,38.0,jelly,15.0,pearls,15.0
Chocolate,,Ice Candy Cups,C:\Users\RHS_ICT\AppData\Roaming\POS_Tea\product images\427967374_369859849292565_3265667194235260605_n.jpg,,,,,,,,,,,,,,,,25.0
